Title,Nom_source,Type_source,Periodiscite,Couverture_geographique,Date
_ Le réchauffement climatique_ une urgence pour la planète,La Croix,Presse • Journaux,Quotidien,Nationale,Samedi 26 novembre 2011
_ Bali cherche un accord vital sur le climat,Ouest-France,Presse • Journaux,Quotidien,Régionale,Lundi 3 décembre 2007
_ Cinq scientifiques proposent de réformer le Giec,Le Figaro,Presse • Journaux,Quotidien,Nationale,Jeudi 11 février 2010
_ C_était quand_ la _ dernière chance _ _,Le Monde,Presse • Journaux,Quotidien,Internationale,Lundi 15 octobre 2018
_ Climat _ tous concernés___ pourtant _,Ouest-France,Presse • Journaux,Quotidien,Régionale,Vendredi 26 septembre 2014
_ 5éme rapport du GIEC_ Repères,Libération,Presse • Journaux,Quotidien,Nationale,Lundi 3 novembre 2014
_ _ _Il faut continuer à partager les expériences_ _,Ouest-France,Presse • Journaux,Quotidien,Régionale,Mardi 11 février 2020
_ L_inquiétante perturbation du Gulf Stream,Le Monde,Presse • Journaux,Quotidien,Internationale,Vendredi 2 décembre 2005
_ Jean-Pascal van Ypersele _ _ Les discussions financières risquent d_être difficiles _,Les Echos,Presse • Journaux,Quotidien,Nationale,Lundi 30 novembre 2015
_ L_ONU prévoit une hausse de 3 _C de la température,Le Figaro,Presse • Journaux,Quotidien,Nationale,Mercredi 1 novembre 2017
_ Climat_ _ la balle est dans le camp des politiques _ Jean Jouzel Climatologue_ directeur émérite d,La Croix,Presse • Journaux,Quotidien,Nationale,Lundi 8 octobre 2018
_ Plan climat énergie _ Vitré Tuvalu _ très vigilant _,Ouest-France,Presse • Journaux,Quotidien,Régionale,Jeudi 3 octobre 2013
_ Les États-Unis plombent Copenhague Le patronat européen frileux sur la baisse des émissions La pol,l'Humanité,Presse • Journaux,Quotidien,Nationale,Jeudi 10 décembre 2009
_ Avant la conférence sur le climat 4_,La Croix,Presse • Journaux,Quotidien,Nationale,Lundi 8 juin 2015
_ Jean Jouzel_ l_infatigable défenseur du climat,Ouest-France,Presse • Journaux,Quotidien,Régionale,Vendredi 25 septembre 2015
_ Affluence inattendue pour l_opération Mange ta soupe,Ouest-France,Presse • Journaux,Quotidien,Régionale,Lundi 20 octobre 2014
_ 300 chercheurs vont étudier l_environnement,Le Parisien,Presse • Journaux,Quotidien,Régionale,Jeudi 18 octobre 2007
_ Le réchauffement climatique menace l_équilibre des terroirs et l_âme de nos vins,Le Monde,Presse • Journaux,Quotidien,Internationale,Mercredi 12 août 2009
_ Le climatoscepticisme relève-t-il de la science_ _ Tribune _,Le Monde,Presse • Journaux,Quotidien,Internationale,Mercredi 4 novembre 2015
_ 2001-2010_ la décennie la plus chaude,Le Figaro,Presse • Journaux,Quotidien,Nationale,Jeudi 4 juillet 2013
_ Un accord tiède sur le réchauffement,Libération,Presse • Journaux,Quotidien,Nationale,Vendredi 8 juin 2007
_ Le G7 joue les pompiers de l_Amazonie,Ouest-France,Presse • Journaux,Quotidien,Régionale,Mardi 27 août 2019
_ La forêt française se métamorphose sous l_effet du changement climatique,Le Monde,Presse • Journaux,Quotidien,Internationale,Jeudi 14 février 2008
_ Sarkozy repeint la droite en vert,l'Humanité,Presse • Journaux,Quotidien,Nationale,Mercredi 10 juin 2009
_ Le GIEC s_alarme de la montée des eaux,Les Echos,Presse • Journaux,Quotidien,Nationale,Vendredi 30 août 2019
_ Agir pour le climat,Le Monde,Presse • Journaux,Quotidien,Internationale,Mardi 6 février 2007
_ Mercure dans l_Arctique_ une catastrophe annoncée,La Croix,Presse • Journaux,Quotidien,Nationale,Mardi 3 décembre 2019
_ COP 23 _ Macron réchauffe _un peu_ l_atmosphère à Bonn,Libération,Presse • Journaux,Quotidien,Nationale,Jeudi 16 novembre 2017
_ ___Le Giec doit réformer fondamentalement sa structure de direction et renforcer ses méthodes de t,l'Humanité,Presse • Journaux,Quotidien,Nationale,Mardi 31 août 2010
_ Dossier_ Environnement_ Biodiversité _ peut-on enrayer l_érosion _ Jacques Chirac encourage à mett,La Croix,Presse • Journaux,Quotidien,Nationale,Mardi 25 janvier 2005
_ Climat _ le dégel n_attend pas le nombre des années,l'Humanité,Presse • Journaux,Quotidien,Nationale,Vendredi 10 mai 2013
_ Réchauffement de la planète _ les effets attendus du protocole de Kyoto,Les Echos,Presse • Journaux,Quotidien,Nationale,Mardi 15 février 2005
_ L_Assemblée générale de l_ONU crée un _ GIEC _ de la biodiversité,Le Monde,Presse • Journaux,Quotidien,Internationale,Mercredi 22 décembre 2010
_ Une situation objective,Le Monde,Presse • Journaux,Quotidien,Internationale,Samedi 13 mars 2010
_ L_ingénieur agronome Daniel Tanuro refuse de se résigner,Ouest-France,Presse • Journaux,Quotidien,Régionale,Dimanche 27 octobre 2019
_ Ouvrages récents et sites internet utiles,Le Monde,Presse • Journaux,Quotidien,Internationale,Mercredi 16 février 2005
_ L_Anthropocène appelle de nouveaux droits pour la Terre,Libération,Presse • Journaux,Quotidien,Nationale,Mardi 20 octobre 2015
_ Climat _ l_ONU publie un rapport catastrophique,Libération,Presse • Journaux,Quotidien,Nationale,Mercredi 14 février 2001
_ La mobilisation pour le climat continue ce samedi,Ouest-France,Presse • Journaux,Quotidien,Régionale,Samedi 21 septembre 2019
_ _ Avec ma timidité_ j_avais le sentiment de venir d_un autre monde _ Valérie Masson-Delmotte,Le Monde,Presse • Journaux,Quotidien,Internationale,Jeudi 19 septembre 2019
_ Le GIEC perd un budget,Le Monde,Presse • Journaux,Quotidien,Internationale,Mardi 22 février 2011
_ Un prix Nobel honoré à Guyancourt Le succès des cours à domicile,Le Parisien,Presse • Journaux,Quotidien,Régionale,Samedi 19 janvier 2008
_ _scientifique et prix Nobel de la Paix en 2007____,Ouest-France,Presse • Journaux,Quotidien,Régionale,Jeudi 18 février 2016
_ Des planctons cruciaux pour la vie marine souffrent de l_acidification des océans,Le Monde,Presse • Journaux,Quotidien,Internationale,Jeudi 11 août 2011
_ La COP21 et son jargon,Le Figaro,Presse • Journaux,Quotidien,Nationale,Mardi 1 décembre 2015
_ Un nouveau pacte social est nécessaire,La Croix,Presse • Journaux,Quotidien,Nationale,Jeudi 2 mai 2019
_ Avant Copenhague_ les pays émergents font bloc,Le Monde,Presse • Journaux,Quotidien,Internationale,Jeudi 3 décembre 2009
_ Creuse _ vacherie de sécheresse,Libération,Presse • Journaux,Quotidien,Nationale,Vendredi 9 août 2019
_ Le climat dégradé leur donne le mal de terre,Ouest-France,Presse • Journaux,Quotidien,Régionale,Mardi 15 octobre 2019
_ La médiathèque d_Ergué-Armel explore le climat,Ouest-France,Presse • Journaux,Quotidien,Régionale,Samedi 5 juin 2010
_ Elections régionales__ Nicolas Sarkozy lance ses troupes dans la bataille,Les Echos,Presse • Journaux,Quotidien,Nationale,Vendredi 27 novembre 2009
_ Les experts de l_ONU alarmistes sur le climat,Le Parisien,Presse • Journaux,Quotidien,Régionale,Mardi 1 avril 2014
_ La France se relance dans la course au calcul intensif,Le Monde,Presse • Journaux,Quotidien,Internationale,Samedi 30 octobre 2010
_ Conférence sur le climat par Jean Jouzel à Sarzeau,Ouest-France,Presse • Journaux,Quotidien,Régionale,Mardi 1 septembre 2009
_ Nathalie Kosciusko-Morizet et Luc Ferry _ Quelle écologie pour aujourd_hui _,Le Figaro,Presse • Journaux,Quotidien,Nationale,Mardi 8 juillet 2008
_ Rajendra Pachauri _ _ Il nous reste sept ans pour inverser la courbe des émissions de CO2 _,Le Monde,Presse • Journaux,Quotidien,Internationale,Mardi 8 juillet 2008
_ L_agonie de la nature _ Une fable,Les Echos,Presse • Journaux,Quotidien,Nationale,Vendredi 10 mai 2019
_ Albert II de Monaco _ _ 50 _ de l_air que l_on respire est produit par les océans _,Le Figaro,Presse • Journaux,Quotidien,Nationale,Mardi 6 décembre 2016
_ Expertise_ Nouveau rapport alarmant de l_ONU sur les conséquences du réchauffement climatique sur ,l'Humanité,Presse • Journaux,Quotidien,Nationale,Samedi 24 février 2001
_ Valérie Faudon _ _ Chercher à exclure une technologie efficace nuit au combat climatique _,Le Monde,Presse • Journaux,Quotidien,Internationale,Samedi 2 février 2019
_ Réflexion _ Accord de Paris _ l_océan au cœur de l_urgence _,Ouest-France,Presse • Journaux,Quotidien,Régionale,Mardi 1 décembre 2020
_ Climat _ une action drastique s_impose pour éviter le pire,Le Monde,Presse • Journaux,Quotidien,Internationale,Mercredi 27 novembre 2019
_ Derrière le climat_ un choix de société,l'Humanité,Presse • Journaux,Quotidien,Nationale,Lundi 14 septembre 2009
_ Négociations climatiques _ Laurent Fabius à la manoeuvre,Le Monde,Presse • Journaux,Quotidien,Internationale,Jeudi 11 décembre 2014
_ Prix Nobel _ les pères du boson de Higgs récompensés,Le Figaro,Presse • Journaux,Quotidien,Nationale,Mercredi 9 octobre 2013
_ L_eau est un sujet prioritaire pour les agriculteurs,La Croix,Presse • Journaux,Quotidien,Nationale,Vendredi 9 août 2019
_ Si on ne fait rien_ il y a de,Le Parisien,Presse • Journaux,Quotidien,Régionale,Lundi 29 janvier 2007
_ _On a perdu de vue que notre existence est fondée sur les systèmes vivants_,Libération,Presse • Journaux,Quotidien,Nationale,Mercredi 13 janvier 2010
_ _Meles Zenawi Le Premier ministre éthiopien sera le porte-parole de l_Afrique pendant les négociat,Libération,Presse • Journaux,Quotidien,Nationale,Lundi 7 décembre 2009
_ Réchauffement climatique _ une lutte urgente,Ouest-France,Presse • Journaux,Quotidien,Régionale,Samedi 5 mai 2007
_ Réchauffement climatique _ ça tourne Allègre,Libération,Presse • Journaux,Quotidien,Nationale,Mardi 26 mai 2009
_ Atténuer le changement climatique_ c_est possible,l'Humanité,Presse • Journaux,Quotidien,Nationale,Samedi 5 mai 2007
_ _ Pour Hollande_ la lutte pour le climat passe par les marchés _,l'Humanité,Presse • Journaux,Quotidien,Nationale,Lundi 1 décembre 2014
_ Face au réchauffement climatique _ la politique piétine la science,Le Figaro,Presse • Journaux,Quotidien,Nationale,Samedi 19 janvier 2008
_ Les plus gros pollueurs du monde à Paris,Libération,Presse • Journaux,Quotidien,Nationale,Lundi 25 mai 2009
_ Les températures font une pause,Le Figaro,Presse • Journaux,Quotidien,Nationale,Jeudi 11 avril 2013
_ Climat _ ces groupes citoyens qui passent à l_action,Ouest-France,Presse • Journaux,Quotidien,Régionale,Jeudi 25 avril 2019
_ _ Les décisions appartiennent aux politiques_ À eux de trancher _,l'Humanité,Presse • Journaux,Quotidien,Nationale,Lundi 3 novembre 2014
_ Comment faire face aux défis du temps_,Ouest-France,Presse • Journaux,Quotidien,Régionale,Jeudi 27 juin 2013
_ Terralies vise 26 000 visiteurs en trois jours,Ouest-France,Presse • Journaux,Quotidien,Régionale,Jeudi 22 mai 2008
_ L_impact des trajectoires de développement socio-économique,Le Monde,Presse • Journaux,Quotidien,Internationale,Vendredi 9 août 2019
_ Le réchauffement climatique_ une réalité de combat,La Croix,Presse • Journaux,Quotidien,Nationale,Mardi 4 février 2020
_ Jean Jouzel _ Les scientifiques ont un devoir de vulgarisation,Les Echos,Presse • Journaux,Quotidien,Nationale,Jeudi 21 avril 2005
_ _ L_apocalyptisme critique _,l'Humanité,Presse • Journaux,Quotidien,Nationale,Vendredi 6 septembre 2019
_ Les océans sont nos alliés face au réchauffement terrestre,Ouest-France,Presse • Journaux,Quotidien,Régionale,Dimanche 11 janvier 2009
_ REPERES_ Une prise de conscience progressive,La Croix,Presse • Journaux,Quotidien,Nationale,Samedi 21 septembre 2013
_ L_écotaxe bouge encore,Libération,Presse • Journaux,Quotidien,Nationale,Jeudi 27 novembre 2014
