Title,Nom_source,Type_source,Periodiscite,Couverture_geographique,Date,rapport_GIEC
_ Le réchauffement climatique_ une urgence pour la planète,La Croix,Presse • Journaux,Quotidien,Nationale,2011-11-26,AR4 Climate Change 2007: Synthesis Report
_ Bali cherche un accord vital sur le climat,Ouest-France,Presse • Journaux,Quotidien,Régionale,2007-12-03,AR4 Climate Change 2007: Synthesis Report
_ Cinq scientifiques proposent de réformer le Giec,Le Figaro,Presse • Journaux,Quotidien,Nationale,2010-02-11,AR4 Climate Change 2007: Synthesis Report
_ C_était quand_ la _ dernière chance _ _,Le Monde,Presse • Journaux,Quotidien,Internationale,2018-10-15,AR5 Synthesis Report: Climate Change 2014
_ Climat _ tous concernés___ pourtant _,Ouest-France,Presse • Journaux,Quotidien,Régionale,2014-09-26,AR4 Climate Change 2007: Synthesis Report
_ 5éme rapport du GIEC_ Repères,Libération,Presse • Journaux,Quotidien,Nationale,2014-11-03,AR5 Synthesis Report: Climate Change 2014
_ _ _Il faut continuer à partager les expériences_ _,Ouest-France,Presse • Journaux,Quotidien,Régionale,2020-02-11,AR5 Synthesis Report: Climate Change 2014
_ L_inquiétante perturbation du Gulf Stream,Le Monde,Presse • Journaux,Quotidien,Internationale,2005-12-02,TAR Climate Change 2001: Synthesis Report
_ Jean-Pascal van Ypersele _ _ Les discussions financières risquent d_être difficiles _,Les Echos,Presse • Journaux,Quotidien,Nationale,2015-11-30,AR5 Synthesis Report: Climate Change 2014
_ L_ONU prévoit une hausse de 3 _C de la température,Le Figaro,Presse • Journaux,Quotidien,Nationale,2017-11-01,AR5 Synthesis Report: Climate Change 2014
_ Climat_ _ la balle est dans le camp des politiques _ Jean Jouzel Climatologue_ directeur émérite d,La Croix,Presse • Journaux,Quotidien,Nationale,2018-10-08,AR5 Synthesis Report: Climate Change 2014
_ Plan climat énergie _ Vitré Tuvalu _ très vigilant _,Ouest-France,Presse • Journaux,Quotidien,Régionale,2013-10-03,AR4 Climate Change 2007: Synthesis Report
_ Les États-Unis plombent Copenhague Le patronat européen frileux sur la baisse des émissions La pol,l'Humanité,Presse • Journaux,Quotidien,Nationale,2009-12-10,AR4 Climate Change 2007: Synthesis Report
_ Avant la conférence sur le climat 4_,La Croix,Presse • Journaux,Quotidien,Nationale,2015-06-08,AR5 Synthesis Report: Climate Change 2014
_ Jean Jouzel_ l_infatigable défenseur du climat,Ouest-France,Presse • Journaux,Quotidien,Régionale,2015-09-25,AR5 Synthesis Report: Climate Change 2014
_ Affluence inattendue pour l_opération Mange ta soupe,Ouest-France,Presse • Journaux,Quotidien,Régionale,2014-10-20,AR5 Synthesis Report: Climate Change 2014
_ 300 chercheurs vont étudier l_environnement,Le Parisien,Presse • Journaux,Quotidien,Régionale,2007-10-18,AR4 Climate Change 2007: Synthesis Report
_ Le réchauffement climatique menace l_équilibre des terroirs et l_âme de nos vins,Le Monde,Presse • Journaux,Quotidien,Internationale,2009-08-12,AR4 Climate Change 2007: Synthesis Report
_ Le climatoscepticisme relève-t-il de la science_ _ Tribune _,Le Monde,Presse • Journaux,Quotidien,Internationale,2015-11-04,AR5 Synthesis Report: Climate Change 2014
